CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Churn,Churn_Probability,Retention_Action
12346.0,165,11,372.86,3,Inactive / Churned,1,1.0,No Action / Low-Cost Re-engagement
12347.0,3,2,1323.32,0,Active Low-Value,0,1.890510531340252e-84,Monitor
12348.0,74,1,221.16,2,At-Risk High-Value,0,4.697856283445343e-16,Monitor
12349.0,43,2,2221.14,3,Inactive / Churned,0,5.471803721115552e-46,No Action / Low-Cost Re-engagement
12351.0,11,1,300.93,0,Active Low-Value,0,1.1476207939246442e-76,Monitor
12352.0,11,2,343.8,0,Active Low-Value,0,9.912169956897837e-77,Monitor
12353.0,44,1,317.76,0,Active Low-Value,0,6.421179847863401e-45,Monitor
12355.0,203,1,488.21000000000004,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12356.0,16,3,3126.25,3,Inactive / Churned,0,4.768672991236376e-72,No Action / Low-Cost Re-engagement
12357.0,24,1,11229.99,3,Inactive / Churned,0,2.039161441426713e-64,No Action / Low-Cost Re-engagement
12358.0,11,3,2519.01,3,Inactive / Churned,0,7.627002163473478e-77,No Action / Low-Cost Re-engagement
12359.0,61,6,2563.36,3,Inactive / Churned,0,6.263257317232299e-29,No Action / Low-Cost Re-engagement
12360.0,28,3,1310.83,3,Inactive / Churned,0,1.8447116880291297e-60,No Action / Low-Cost Re-engagement
12361.0,98,3,276.35,2,At-Risk High-Value,1,0.9999999768243731,Targeted Win-Back Campaign
12366.0,269,1,500.24,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12368.0,264,1,917.6999999999999,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12369.0,49,3,1511.15,3,Inactive / Churned,0,2.9148880755123615e-40,No Action / Low-Cost Re-engagement
12370.0,260,3,534.62,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12371.0,45,3,1819.42,3,Inactive / Churned,0,4.0653550468269985e-44,No Action / Low-Cost Re-engagement
12373.0,260,2,603.0500000000001,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12374.0,57,2,2046.29,3,Inactive / Churned,0,1.6262387276653532e-32,No Action / Low-Cost Re-engagement
12376.0,25,2,383.15,0,Active Low-Value,0,2.9119322985217987e-63,Monitor
12377.0,17,2,1718.2,0,Active Low-Value,0,5.447837431747451e-71,Monitor
12378.0,198,1,1407.7,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12379.0,58,2,692.98,3,Inactive / Churned,0,1.6036214777089707e-31,No Action / Low-Cost Re-engagement
12380.0,101,5,6291.49,3,Inactive / Churned,1,0.9999999999443276,No Action / Low-Cost Re-engagement
12385.0,15,1,1668.4,0,Active Low-Value,0,7.514201124415704e-73,Monitor
12386.0,2,1,258.9,0,Active Low-Value,0,2.5245511858817483e-85,Monitor
12387.0,51,1,143.94,2,At-Risk High-Value,0,3.5170217837975544e-38,Monitor
12388.0,81,2,1120.45,3,Inactive / Churned,0,2.1017608729252787e-09,No Action / Low-Cost Re-engagement
12389.0,38,3,1433.33,3,Inactive / Churned,0,7.650959277992221e-51,No Action / Low-Cost Re-engagement
12391.0,100,5,2312.53,3,Inactive / Churned,1,0.9999999995887927,No Action / Low-Cost Re-engagement
12392.0,227,1,234.75000000000003,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12393.0,18,2,816.85,0,Active Low-Value,0,5.24209277511014e-70,Monitor
12395.0,7,4,1868.64,1,High-Value Loyal,0,9.69999718015714e-81,Monitor
12396.0,310,1,931.43,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12399.0,21,3,808.65,0,Active Low-Value,0,3.493639739973664e-67,Monitor
12400.0,50,1,205.25,2,At-Risk High-Value,0,3.825296160561541e-39,Monitor
12402.0,28,5,941.3,3,Inactive / Churned,0,1.410535644153826e-60,No Action / Low-Cost Re-engagement
12403.0,157,1,555.6600000000001,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12404.0,318,1,63.24,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12406.0,35,3,2975.06,3,Inactive / Churned,0,9.145968834867947e-54,No Action / Low-Cost Re-engagement
12408.0,21,3,1287.22,3,Inactive / Churned,0,3.404198248678069e-67,No Action / Low-Cost Re-engagement
12409.0,56,4,12346.619999999999,3,Inactive / Churned,0,7.611228542831959e-34,No Action / Low-Cost Re-engagement
12410.0,138,1,240.38,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12411.0,45,1,346.9,0,Active Low-Value,0,5.874840259864196e-44,Monitor
12412.0,38,3,1262.05,3,Inactive / Churned,0,7.722306090114746e-51,No Action / Low-Cost Re-engagement
12413.0,38,1,185.35,0,Active Low-Value,0,1.09226712456941e-50,Monitor
12414.0,99,3,350.0,2,At-Risk High-Value,1,0.9999999974607947,Targeted Win-Back Campaign
12415.0,11,7,19543.84,1,High-Value Loyal,0,1.702891666514334e-77,Monitor
12416.0,292,1,202.56,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12417.0,46,11,2791.81,1,High-Value Loyal,0,1.115101424909315e-43,Monitor
12418.0,49,3,1352.62,3,Inactive / Churned,0,2.940037908803649e-40,No Action / Low-Cost Re-engagement
12419.0,21,2,391.01,0,Active Low-Value,0,4.12788986595343e-67,Monitor
12421.0,51,2,235.56,0,Active Low-Value,0,3.0296889645663363e-38,Monitor
12422.0,30,11,4014.2400000000002,1,High-Value Loyal,0,4.221544867976224e-59,Monitor
12423.0,23,2,667.08,0,Active Low-Value,0,3.414796372813328e-65,Monitor
12424.0,58,2,1579.07,3,Inactive / Churned,0,1.528436833657103e-31,No Action / Low-Cost Re-engagement
12425.0,84,1,964.21,2,At-Risk High-Value,0,1.8840025511968472e-06,Monitor
12426.0,298,1,690.48,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12427.0,7,1,249.5,0,Active Low-Value,0,1.6320769942195207e-80,Monitor
12429.0,1,5,3591.51,1,High-Value Loyal,0,1.2918152449510832e-86,Monitor
12431.0,9,11,4145.52,1,High-Value Loyal,0,2.6240598070285067e-79,Monitor
12433.0,2,5,7205.39,1,High-Value Loyal,0,9.732262252613702e-86,Monitor
12434.0,17,1,297.29,0,Active Low-Value,0,6.796516164982178e-71,Monitor
12435.0,32,4,6096.04,3,Inactive / Churned,0,8.688699036034788e-57,No Action / Low-Cost Re-engagement
12437.0,31,20,6834.99,1,High-Value Loyal,0,9.06911549919618e-59,Monitor
12439.0,318,2,1158.18,3,Inactive / Churned,1,1.0,No Action / Low-Cost Re-engagement
12440.0,98,2,739.2,3,Inactive / Churned,1,0.9999999794266943,No Action / Low-Cost Re-engagement
12441.0,2,1,155.55,0,Active Low-Value,0,2.538730209399346e-85,Monitor
12443.0,368,1,365.31,2,At-Risk High-Value,1,1.0,Targeted Win-Back Campaign
12445.0,56,1,301.58000000000004,2,At-Risk High-Value,0,2.253202315733946e-33,Monitor
12449.0,74,1,678.6,2,At-Risk High-Value,0,4.582830048140154e-16,Monitor
12450.0,35,3,490.32,0,Active Low-Value,0,1.0464265465919005e-53,Monitor
